"";"BD";"mode_eqt";"fiche_n";"id_sortie";"id_obs";"date";"a";"m";"j";"Saisie";"etat_mer";"temp";"force_v";"direct_v";"direct_h";"neb";"phase_lune";"y_lat";"y_degres";"y_min_dec";"y_lat_DD";"lat";"x_lon";"x_degres";"x_min_dec";"x_lon_DD";"mod_peche";"prof_m_moyen";"nb_pecheur";"h_debut";"heure_enq";"h_fin";"Temps_peche_effectif";"Temps_peche_estime";"deb_sortie";"fin_sortie";"obs";"act_peche";"debarq";"commune";"code_insee";"res_tour";"pdb";"csm";"pe";"po";"espcib1";"espcib2";"espcib3";"z_1";"z_2";"z_3";"z_4";"z_6";"z_7";"z_8";"z_9";"z_54";"z_55";"z_56";"z_57";"z_58";"z_59";"z_60";"z_61";"esp_cib";"mort_pss";"mort_cru";"mort_mll";"mort_vers";"mort_esp";"viv_vers";"viv_pss";"viv_cru";"viv_moll";"autre";"viv_esp";"autre_app";"procu_app";"agachon";"indienne";"chas_trou";"tra_fond";"tra_surf";"pierre";"palangro";"palangre";"nasse";"ligne_m";"broume";"flotteur";"peche_cal";"surfcas";"pelote";"pierre_bd";"sout_bd";"leurre_tt";"turlutte";"leur_surf";"rockfish";"shad";"shore_jigg";"jigging";"tenya";"madai";"inchiku";"fireball";"autre_tech";"prise_jour";"sexe";"age";"age_moyen";"cat_pro";"act_pro";"assoc";"nom_asso";"deb_age";"temps_parc";"nb_sort_an";"f";"m2";"j3";"j4";"a5";"s";"o";"n";"d";"niql";"vac";"we";"sem";"aube";"matin";"soir";"crepuscule";"nuit";"apm";"journee";"nimp_q";"p_no_kill";"bag_thon";"doursin";"joursin";"foursin";"moursin";"aoursin";"pourc_sem";"pourc_we";"pour_jf";"nb_sort_an6";"dur_sort";"secteur_po";"secteur_po7";"douz_jour";"douz_jour8";"nb_pech_o";"dur_moy_o";"nb_ours";"nb_sous_tail";"poss_bat";"type_bat";"motor";"longueur";"loca_bat";"loca_dom";"port_atta";"gps";"sondeur";"vivier";"table_traçante";"vire_ligne";"autre9";"anc_posid";"dep_pdb";"dep_pe";"dep_csm";"dep_po";"co_pnmcca";"zone_pro";"reg_pech_l";"reg_pech_o";"sais_pech_o";"tail_min_o";"quot_max_o";"inf_pech_l";"avis_mes_l";"avis_mes_o";"obs_stock_o";"obs_stock_l";"q_esp";"raison_var";"comm_rais_var";"solu_gest";"comm_gest";"esp_n_ind";"nom_esp_ind";"res_alien";"avis_pnm";"accessibilite";"proximite";"connaissance";"recommandation";"autre10";"abondance";"tranquilite";"fonds_rech"
"1";"PNMCA";"terrain";"1";"PECHLOIS2020_0001";"PECHLOIS2020_0001_A";2020-08-11;"2020";"08";"11";"Laure_Helene_GARSI";"0";"NA";"NA";"NA";"NA";"NA";"NA";"42°44.020'";42;"44.02";"42.733666666666664";"NA";"9°27.675'";9;"27.675000000000001";"9.4612499999999997";"pdb";"0.5";"1";07:00:00;07:30:00;09:00:00;00:30:00;02:00:00;07:00:00;13:00:00;"NA";"cote_rocheuse";0;"Furiani";"2B120";"resident";1;0;0;0;"NA";"NA";"NA";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;"soupe, Coris julis, Serranus cabrilla, Serranus scriba, Pagellus erythrinus";0;0;0;0;0;1;0;0;0;0;"0";"0";"mag_spe";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NA";"homme";">50";50;"activite";"Artisan(e)s,_commerçant(e)s_et_chef(fe)_d'entreprises";NA;"NA";"40";"15";"5";0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;"oui";"non";NA;NA;NA;NA;NA;"NA";"NA";"NA";NA;NA;"NA";"NA";"NA";NA;"NA";NA;"NA";"NA";"non";"NA";"NA";"NA";"NA";"NA";"NA";0;0;0;0;0;0;"NA";"2";"0";"0";"0";"non";"non";"oui_peu";"NA";"NA";"NA";"NA";"oui_peu";"p_avis";"NA";"NA";"bcp_dimi";"toutes";"NA";"NA";"Uniformiser reglementation";"Pour les pecheurs pro et loisir";"non";"NA";"NA";"p_avis";1;0;1;0;1;0;0;"aucun_part"
"2";"PNMCA";"terrain";"2";"PECHLOIS2020_0001";"PECHLOIS2020_0001_B";2020-08-11;"2020";"08";"11";"Laure_Helene_GARSI";"0";"NA";"NA";"NA";"NA";"NA";"NA";"42°46.620'";42;"46.62";"42.777000000000001";"NA";"9°28.678'";9;"28.678000000000001";"9.4779666666666671";"csm";"2.5";"1";06:30:00;08:00:00;08:30:00;01:30:00;02:00:00;07:00:00;13:00:00;"NA";"cote_sableuse";0;"Erbalunga";"2B043";"secondaire";1;1;0;0;"NA";"NA";"NA";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;"roche";0;0;0;0;0;0;0;0;0;0;"0";"0";"NA";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Mullus surmuletus, Diplodus sargus, Dicentrarchus labrax";"homme";"40-50";45;"activite";"Cadres_et_profession_intellectuelles_superieures";NA;"NA";"16";"30";"5";0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;"oui";"non";NA;NA;NA;NA;NA;"NA";"NA";"NA";NA;NA;"NA";"NA";"NA";NA;"NA";NA;"NA";"NA";"non";"NA";"NA";"NA";"NA";"NA";"NA";0;0;0;0;0;0;"NA";"0";"0";"1";"0";"oui";"oui";"oui_taf";"NA";"NA";"NA";"NA";"oui_taf";"adapt";"NA";"NA";"bcp_dimi";"""soupe"" sauf Serranus, poissons roches";"NA";"NA";"Elargir zones protection forte";"Zones ciblees, systeme protection tournant (type jachere)";"non";"NA";"NA";"t_positif";1;1;1;0;1;0;0;"rocheux"
"3";"PNMCA";"terrain";"3";"PECHLOIS2020_0002";"PECHLOIS2020_0002_A";2020-08-12;"2020";"08";"12";"Laure_Helene_GARSI";"0";"NA";"NA";"NA";"NA";"NA";"NA";"42°40.461'";42;"40.460999999999999";"42.674349999999997";"NA";"9°17.453'";9;"17.452999999999999";"9.2908833333333334";"pdb";"0.5";"1";07:00:00;07:30:00;08:30:00;00:30:00;01:30:00;07:00:00;13:00:00;"vacancier etranger";"cote_sableuse";0;"Saint_Florent";"2B298";"occasionnel";1;0;0;0;"NA";"NA";"NA";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;"NA";1;0;0;0;0;0;0;0;0;0;"0";"0";"mag_spe";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NA";"homme";"40-50";45;"activite";"Artisan(e)s,_commerçant(e)s_et_chef(fe)_d'entreprises";NA;"NA";"20";"NA";"5";0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;"oui";"non";NA;NA;NA;NA;NA;"NA";"NA";"NA";NA;NA;"NA";"NA";"NA";NA;"NA";NA;"NA";"NA";"non";"NA";"NA";"NA";"NA";"NA";"NA";0;0;0;0;0;0;"NA";"1";"0";"0";"0";"non";"non";"non_pv";"NA";"NA";"NA";"NA";"non_pdt";"p_avis";"NA";"NA";"nsp";"NA";"NA";"NA";"NA";"NA";"non";"NA";"NA";"positif";1;1;1;0;1;0;0;"aucun_part"
"4";"PNMCA";"terrain";"4";"PECHLOIS2020_0002";"PECHLOIS2020_0002_B";2020-08-12;"2020";"08";"12";"Laure_Helene_GARSI";"0";"NA";"NA";"NA";"NA";"NA";"NA";"42°52.012'";42;"52.012";"42.866866666666667";"NA";"9°20.443'";9;"20.443000000000001";"9.3407166666666672";"pe";"15";"2";06:00:00;10:30:00;10:00:00;04:30:00;04:00:00;07:00:00;13:00:00;"NA";"en_mer";0;"Canari";"2B058";"resident";0;0;1;1;"NA";"NA";"NA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"toutes";0;1;0;0;0;0;0;0;0;0;"0";"0";"mag_spe";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Pagellus erythrinus, Diplodus sargus, Serranus cabrilla, Trachinus draco";"homme";">50";50;"activite";"Employe(e)s";NA;"NA";"13";"40";"30";0;0;0;0;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;"oui";"non";NA;NA;NA;NA;NA;"NA";"NA";"NA";NA;NA;"NA";"NA";"NA";NA;"NA";NA;"NA";"NA";"oui";"coque_dure";"9";"4";"domicile";"Canari";"NA";0;0;0;0;0;0;"oui";"0";"3";"0";"0";"oui";"oui";"oui_taf";"NA";"NA";"NA";"NA";"oui_taf";"adapt";"NA";"NA";"bcp_dimi";"Coris julis, Pagellus erythrinus, Diplodus spp";"NA";"NA";"Uniformiser reglementation";"Pour les pecheurs pro et loisir";"non";"NA";"NA";"positif";1;1;1;0;1;0;0;"aucun_part"
"5";"PNMCA";"terrain";"5";"PECHLOIS2020_0002";"PECHLOIS2020_0002_C";2020-08-12;"2020";"08";"12";"Laure_Helene_GARSI";"0";"NA";"NA";"NA";"NA";"NA";"NA";"42°52.012'";42;"52.012";"42.866866666666667";"NA";"9°20.443'";9;"20.443000000000001";"9.3407166666666672";"pe";"20";"2";06:00:00;11:00:00;10:30:00;05:00:00;04:30:00;07:00:00;13:00:00;"NA";"en_mer";0;"Canari";"2B058";"resident";0;0;1;0;"NA";"NA";"NA";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"toutes, soupe";0;1;0;0;0;0;0;0;0;0;"0";"0";"mag_spe";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NA";"homme";">50";50;"activite";"Artisan(e)s,_commerçant(e)s_et_chef(fe)_d'entreprises";NA;"NA";"15";"40";"15";0;0;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;"oui";"non";NA;NA;NA;NA;NA;"NA";"NA";"NA";NA;NA;"NA";"NA";"NA";NA;"NA";NA;"NA";"NA";"oui";"semi_rigide";"50";"5";"domicile";"Canari";"NA";1;0;0;0;0;0;"oui";"0";"3";"0";"0";"oui";"oui";"oui_peu";"NA";"NA";"NA";"NA";"oui_peu";"adapt";"NA";"NA";"bcp_dimi";"Diplodus spp, pagellus erythrinus, ""soupe""";"NA";"NA";"NA";"NA";"non";"NA";"NA";"positif";1;1;1;0;1;0;0;"rocheux"
"6";"PNMCA";"terrain";"6";"PECHLOIS2020_0003";"PECHLOIS2020_0003_A";2020-08-14;"2020";"08";"14";"Laure_Helene_GARSI";"1";"NA";"NA";"NA";"NA";"NA";"NA";"42°42.857'";42;"42.856999999999999";"42.714283333333334";"NA";"9°15.546'";9;"15.545999999999999";"9.2591000000000001";"pe";"20";"2";10:00:00;10:45:00;11:30:00;00:45:00;01:30:00;07:00:00;13:00:00;"NA";"en_mer";0;"Farinole";"2B109";"resident";0;0;1;0;"NA";"NA";"NA";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;"soupe";0;0;1;0;0;0;0;0;0;0;"0";"0";"mag_spe";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NA";"homme";">50";50;"retraite";"Retraite(e)s";NA;"NA";"14";"3 mois";"15";0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;"oui";"non";NA;NA;NA;NA;NA;"NA";"NA";"NA";NA;NA;"NA";"NA";"NA";NA;"NA";NA;"NA";"NA";"oui";"coque_dure";"70";"5.25";"NA";"NA";"NA";0;1;0;0;0;0;"oui";"0";"4";"0";"0";"oui";"oui";"oui_peu";"NA";"NA";"NA";"NA";"oui_peu";"adapt";"NA";"NA";"bcp_dimi";"Pagellus erythrinus";"NA";"NA";"NA";"NA";"non";"NA";"NA";"positif";1;0;1;0;1;1;0;"aucun_part"
"7";"PNMCA";"terrain";"7";"PECHLOIS2020_0003";"PECHLOIS2020_0003_B";2020-08-14;"2020";"08";"14";"Laure_Helene_GARSI";"1";"NA";"NA";"NA";"NA";"NA";"NA";"42°44.860'";42;"44.86";"42.747666666666667";"NA";"9°12.317'";9;"12.317";"9.2052833333333339";"pe";"20";"4";10:00:00;11:05:00;12:00:00;01:05:00;02:00:00;07:00:00;13:00:00;"NA";"en_mer";0;"Sainte_Lucie_de_Moriani";"2B307";"secondaire";0;0;1;0;"NA";"NA";"NA";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;"soupe";0;1;0;0;0;0;0;0;0;0;"0";"0";"mag_spe";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NA";"homme";"20-30";25;"activite";"Cadres_et_profession_intellectuelles_superieures";NA;"NA";"5";"20";"5";0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;"oui";"non";NA;NA;NA;NA;NA;"NA";"NA";"NA";NA;NA;"NA";"NA";"NA";NA;"NA";NA;"NA";"NA";"non";"semi_rigide";"110";"7";"NA";"NA";"NA";1;0;0;0;0;0;"oui";"0";"1";"0";"0";"oui";"oui";"oui_peu";"NA";"NA";"NA";"NA";"oui_peu";"p_avis";"NA";"NA";"bcp_dimi";"toutes";"NA";"NA";"NA";"NA";"non";"NA";"NA";"t_positif";0;0;1;0;1;0;0;"aucun_part"
"8";"PNMCA";"terrain";"8";"PECHLOIS2020_0003";"PECHLOIS2020_0003_C";2020-08-14;"2020";"08";"14";"Laure_Helene_GARSI";"1";"NA";"NA";"NA";"NA";"NA";"NA";"42°46.073'";42;"46.073";"42.76788333333333";"NA";"9°12.317'";9;"12.317";"9.2052833333333339";"pe";"55";"3";07:00:00;11:25:00;12:00:00;04:25:00;05:00:00;07:00:00;13:00:00;"NA";"en_mer";0;"Oletta";"2B185";"secondaire";0;0;1;1;"NA";"NA";"NA";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;"Sparus aurata, Eurhynnus alletteratus, Dentex dentex";1;0;0;0;0;0;0;0;0;0;"0";"0";"mag_spe";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Spondyliosoma cantharus, Euthynnus alletteratus";"homme";">50";50;"activite";"Artisan(e)s,_commerçant(e)s_et_chef(fe)_d'entreprises";NA;"NA";"5";"1";"15";0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;"oui";"non";NA;NA;NA;NA;NA;"NA";"NA";"NA";NA;NA;"NA";"NA";"NA";NA;"NA";NA;"NA";"NA";"oui";"semi_rigide";"200";"7";"NA";"NA";"NA";1;1;0;0;0;0;"oui";"0";"5";"0";"0";"oui";"oui";"oui_taf";"NA";"NA";"NA";"NA";"oui_taf";"adapt";"NA";"NA";"nsp";"NA";"NA";"NA";"Uniformiser reglementation";"Pour les pecheurs pro et loisir";"non";"NA";"NA";"t_positif";1;0;1;0;1;1;0;"rocheux"
"9";"PNMCA";"terrain";"9";"PECHLOIS2020_0004";"PECHLOIS2020_0004_A";2020-08-19;"2020";"08";"19";"Laure_Helene_GARSI";"0";"NA";"NA";"NA";"NA";"NA";"NA";"42°42.643'";42;"42.643000000000001";"42.71071666666667";"NA";"9°27.315'";9;"27.315000000000001";"9.4552499999999995";"pdb";"0.5";"1";05:30:00;07:15:00;09:00:00;01:45:00;03:30:00;07:00:00;14:00:00;"NA";"cote_rocheuse";0;"Bastia";"2B033";"resident";1;0;0;0;"NA";"NA";"NA";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;"toutes";0;1;0;0;0;0;0;0;0;0;"0";"0";"mag_spe";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NA";"homme";">50";50;"sans_emploi";"Sans_emploi";NA;"NA";"10";"6 mois";"15";0;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;"oui";"non";NA;NA;NA;NA;NA;"NA";"NA";"NA";NA;NA;"NA";"NA";"NA";NA;"NA";NA;"NA";"NA";"non";"NA";"NA";"NA";"NA";"NA";"NA";0;0;0;0;0;0;"NA";"2";"0";"0";"0";"non";"non";"non_pv";"NA";"NA";"NA";"NA";"non_pv";"p_avis";"NA";"NA";"nsp";"NA";"NA";"NA";"NA";"NA";"non";"NA";"NA";"p_avis";1;1;0;0;0;0;0;"rocheux"
"10";"PNMCA";"terrain";"10";"PECHLOIS2020_0004";"PECHLOIS2020_0004_B";2020-08-19;"2020";"08";"19";"Laure_Helene_GARSI";"0";"NA";"NA";"NA";"NA";"NA";"NA";"42°42.608'";42;"42.607999999999997";"42.710133333333332";"NA";"9°27.327'";9;"27.327000000000002";"9.4554500000000008";"pdb";"2.5";"1";07:30:00;07:30:00;08:30:00;00:00:00;01:00:00;07:00:00;14:00:00;"NA";"cote_rocheuse";0;"Petranera";"2B305";"secondaire";1;1;1;1;"NA";"NA";"NA";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;"toutes";0;0;0;0;0;0;0;0;0;1;"0";"pain";"mag_spe";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NA";"homme";">50";50;"activite";"Agriculteur";NA;"NA";"5";"50";"15";0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;"oui";"non";NA;NA;NA;NA;NA;"NA";"NA";"NA";NA;NA;"NA";"NA";"NA";NA;"NA";NA;"NA";"NA";"non";"NA";"NA";"NA";"NA";"NA";"NA";0;0;0;0;0;0;"NA";"1";"0";"0";"0";"non";"non";"non_pdt";"NA";"NA";"NA";"NA";"non_pdt";"p_avis";"NA";"NA";"bcp_dimi";"Pagellus erythrinus, toutes";"NA";"NA";"NA";"NA";"non";"NA";"NA";"t_positif";1;0;0;0;0;0;0;"rocheux"
