"a";"mod_peche";"parametre";"categorie";"pourcentage";"n";"N"
"2020";"peche du bord";"a";"2020";100;67;67
"2020";"peche du bord";"mod_peche";"peche du bord";100;67;67
"2020";"peche du bord";"sexe";"homme";100;67;67
"2020";"peche du bord";"res_tour";"occasionnel";20,8955223880597;14;67
"2020";"peche du bord";"res_tour";"resident";74,6268656716418;50;67
"2020";"peche du bord";"res_tour";"secondaire";4,47761194029851;3;67
"2020";"peche du bord";"Temps_peche_estime.cat2h";"<2h";11,9402985074627;8;67
"2020";"peche du bord";"Temps_peche_estime.cat2h";">=2h";88,0597014925373;59;67
"2020";"peche du bord";"zone.gp";"Est Cap";83,5820895522388;56;67
"2020";"peche du bord";"zone.gp";"Ouest Cap";5,97014925373134;4;67
"2020";"peche du bord";"zone.gp";"Saint-Florent";10,4477611940298;7;67
"2020";"peche du bord";"age_classe";"25-39";10,4477611940298;7;67
"2020";"peche du bord";"age_classe";"40-49";31,3432835820896;21;67
"2020";"peche du bord";"age_classe";"50-59";58,2089552238806;39;67
"2020";"peche du bord";"cat_pro.gp";"activite";31,3432835820896;21;67
"2020";"peche du bord";"cat_pro.gp";"retraite";47,7611940298507;32;67
"2020";"peche du bord";"cat_pro.gp";"sans_emploi-en_arret";20,8955223880597;14;67
"2020";"peche du bord";"nb_sort_an_cat";"Q1 (<=10)";31,3432835820896;21;67
"2020";"peche du bord";"nb_sort_an_cat";"Q2 (11-15)";62,6865671641791;42;67
"2020";"peche du bord";"nb_sort_an_cat";"Q3 (16-30)";5,97014925373134;4;67
"2020";"peche du bord";"classe_avis_pnm";"p_avis";16,4179104477612;11;67
"2020";"peche du bord";"classe_avis_pnm";"positif";83,5820895522388;56;67
"2020";"peche du bord";"poss_bat";"non";98,5074626865672;66;67
"2020";"peche du bord";"poss_bat";"oui";1,49253731343284;1;67
"2020";"peche du bord";"time.day.gp";"am";71,6417910447761;48;67
"2020";"peche du bord";"time.day.gp";"pm";28,3582089552239;19;67
"2020";"peche du bord";"dep.mod_peche.chr";"< 100 euros";91,044776119403;61;67
"2020";"peche du bord";"dep.mod_peche.chr";"entre 100-500 euros";7,46268656716418;5;67
"2020";"peche du bord";"dep.mod_peche.chr";"entre 1000-2000 euros";1,49253731343284;1;67
"2020";"chasse sous-marine";"a";"2020";100;11;11
"2020";"chasse sous-marine";"mod_peche";"chasse sous-marine";100;11;11
"2020";"chasse sous-marine";"sexe";"femme";9,09090909090909;1;11
"2020";"chasse sous-marine";"sexe";"homme";90,9090909090909;10;11
"2020";"chasse sous-marine";"res_tour";"occasionnel";18,1818181818182;2;11
"2020";"chasse sous-marine";"res_tour";"resident";72,7272727272727;8;11
"2020";"chasse sous-marine";"res_tour";"secondaire";9,09090909090909;1;11
"2020";"chasse sous-marine";"Temps_peche_estime.cat2h";"<2h";9,09090909090909;1;11
"2020";"chasse sous-marine";"Temps_peche_estime.cat2h";">=2h";90,9090909090909;10;11
"2020";"chasse sous-marine";"zone.gp";"Est Cap";90,9090909090909;10;11
"2020";"chasse sous-marine";"zone.gp";"Ouest Cap";9,09090909090909;1;11
"2020";"chasse sous-marine";"age_classe";"13-24";18,1818181818182;2;11
"2020";"chasse sous-marine";"age_classe";"25-39";45,4545454545455;5;11
"2020";"chasse sous-marine";"age_classe";"40-49";36,3636363636364;4;11
"2020";"chasse sous-marine";"cat_pro.gp";"activite";81,8181818181818;9;11
"2020";"chasse sous-marine";"cat_pro.gp";"etudiant";9,09090909090909;1;11
"2020";"chasse sous-marine";"cat_pro.gp";"sans_emploi-en_arret";9,09090909090909;1;11
"2020";"chasse sous-marine";"nb_sort_an_cat";"Q1 (<=10)";36,3636363636364;4;11
"2020";"chasse sous-marine";"nb_sort_an_cat";"Q2 (11-15)";54,5454545454545;6;11
"2020";"chasse sous-marine";"nb_sort_an_cat";"Q4 (>=31)";9,09090909090909;1;11
"2020";"chasse sous-marine";"classe_avis_pnm";"p_avis";9,09090909090909;1;11
"2020";"chasse sous-marine";"classe_avis_pnm";"positif";90,9090909090909;10;11
"2020";"chasse sous-marine";"poss_bat";"non";100;11;11
"2020";"chasse sous-marine";"time.day.gp";"am";54,5454545454545;6;11
"2020";"chasse sous-marine";"time.day.gp";"pm";45,4545454545455;5;11
"2020";"chasse sous-marine";"dep.mod_peche.chr";"< 100 euros";36,3636363636364;4;11
"2020";"chasse sous-marine";"dep.mod_peche.chr";"entre 100-500 euros";63,6363636363636;7;11
"2020";"peche embarquée";"a";"2020";100;24;24
"2020";"peche embarquée";"mod_peche";"peche embarquée";100;24;24
"2020";"peche embarquée";"sexe";"femme";4,16666666666667;1;24
"2020";"peche embarquée";"sexe";"homme";95,8333333333333;23;24
"2020";"peche embarquée";"res_tour";"occasionnel";20,8333333333333;5;24
"2020";"peche embarquée";"res_tour";"resident";54,1666666666667;13;24
"2020";"peche embarquée";"res_tour";"secondaire";25;6;24
"2020";"peche embarquée";"Temps_peche_estime.cat2h";"<2h";8,33333333333333;2;24
"2020";"peche embarquée";"Temps_peche_estime.cat2h";">=2h";91,6666666666667;22;24
"2020";"peche embarquée";"zone.gp";"Est Cap";29,1666666666667;7;24
"2020";"peche embarquée";"zone.gp";"nimp_ou";8,33333333333333;2;24
"2020";"peche embarquée";"zone.gp";"Ouest Cap";8,33333333333333;2;24
"2020";"peche embarquée";"zone.gp";"Saint-Florent";54,1666666666667;13;24
"2020";"peche embarquée";"age_classe";"25-39";4,16666666666667;1;24
"2020";"peche embarquée";"age_classe";"40-49";12,5;3;24
"2020";"peche embarquée";"age_classe";"50-59";83,3333333333333;20;24
"2020";"peche embarquée";"cat_pro.gp";"activite";41,6666666666667;10;24
"2020";"peche embarquée";"cat_pro.gp";"retraite";54,1666666666667;13;24
"2020";"peche embarquée";"cat_pro.gp";"sans_emploi-en_arret";4,16666666666667;1;24
"2020";"peche embarquée";"nb_sort_an_cat";"Q1 (<=10)";37,5;9;24
"2020";"peche embarquée";"nb_sort_an_cat";"Q2 (11-15)";45,8333333333333;11;24
"2020";"peche embarquée";"nb_sort_an_cat";"Q3 (16-30)";16,6666666666667;4;24
"2020";"peche embarquée";"classe_avis_pnm";"p_avis";16,6666666666667;4;24
"2020";"peche embarquée";"classe_avis_pnm";"positif";83,3333333333333;20;24
"2020";"peche embarquée";"poss_bat";"non";20,8333333333333;5;24
"2020";"peche embarquée";"poss_bat";"oui";79,1666666666667;19;24
"2020";"peche embarquée";"time.day.gp";"am";100;24;24
"2020";"peche embarquée";"dep.mod_peche.chr";"< 100 euros";22,7272727272727;5;22
"2020";"peche embarquée";"dep.mod_peche.chr";"entre 100-500 euros";22,7272727272727;5;22
"2020";"peche embarquée";"dep.mod_peche.chr";"entre 1000-2000 euros";18,1818181818182;4;22
"2020";"peche embarquée";"dep.mod_peche.chr";"entre 500-1000 euros";18,1818181818182;4;22
"2020";"peche embarquée";"dep.mod_peche.chr";"supérieur à 2000";18,1818181818182;4;22
"2021";"peche embarquée";"a";"2021";100;50;50
