"";"BD";"fiche_n";"id_sortie";"id_obs";"date";"a";"m";"j";"Saisie";"etat_mer";"temp";"force_v";"direct_v";"direct_h";"neb";"phase_lune";"y_lat_DD";"x_lon_DD";"mod_peche";"prof_m_moyen";"nb_pecheur";"h_debut";"heure_enq";"h_fin";"Temps_peche_effectif";"choix_site";"fonds_rech";"esp_cib";"mort_app";"mort_esp";"viv_app";"viv_esp";"autre_app";"procu_app";"tech_util";"nom_scien";"nb_ind";"tail_cm";"poids_g";"poids_sor";"photos";"CPUE";"CPUE total";"obs";"y_lat";"y_degre";"y_min_dec";"lat";"x_lon";"x_degre";"x_min_dec";"long";"temps_peche_estime";"res_tour";"infraction";"infraction_nb";"zone_peche";"commune";"mode_de_pêche";"zone_geographique"
"1";"PNMCA";2;"PECHLOIS2020_0001";"PECHLOIS2020_0001_B";2020-08-11;"2020";"08";"11";"Laure_Helene_GARSI";0;NA;"NA";"NA";"NA";"NA";"NA";42,777;9,47797;"csm";2,5;1;06:30:00;08:00:00;08:30:00;01:30:00;"accessibilite, proximite";"rocheux";"roche";"0";"0";"0";"0";"0";"0";"indienne";"Dicentrarchus labrax";1;25;159,27;NA;"NA";106,18;NA;"NA";NA;NA;NA;"42°46.620'";NA;NA;NA;"9°28.678'";02:00:00;"secondaire";"maille";"1";NA;NA;NA;NA
"2";"PNMCA";2;"PECHLOIS2020_0001";"PECHLOIS2020_0001_B";2020-08-11;"2020";"08";"11";"Laure_Helene_GARSI";0;NA;"NA";"NA";"NA";"NA";"NA";42,777;9,47797;"csm";2,5;1;06:30:00;08:00:00;08:30:00;01:30:00;"accessibilite, proximite";"rocheux";"roche";"0";"0";"0";"0";"0";"0";"indienne";"Diplodus sargus";1;20;136,8;NA;"NA";91,2;NA;"NA";NA;NA;NA;"42°46.620'";NA;NA;NA;"9°28.678'";02:00:00;"secondaire";"maille";"1";NA;NA;NA;NA
"3";"PNMCA";2;"PECHLOIS2020_0001";"PECHLOIS2020_0001_B";2020-08-11;"2020";"08";"11";"Laure_Helene_GARSI";0;NA;"NA";"NA";"NA";"NA";"NA";42,777;9,47797;"csm";2,5;1;06:30:00;08:00:00;08:30:00;01:30:00;"accessibilite, proximite";"rocheux";"roche";"0";"0";"0";"0";"0";"0";"indienne";"Mullus surmuletus";1;15;37,74;932,23;"NA";25,16;NA;"NA";NA;NA;NA;"42°46.620'";NA;NA;NA;"9°28.678'";02:00:00;"secondaire";"NA";"NA";NA;NA;NA;NA
"4";"PNMCA";4;"PECHLOIS2020_0002";"PECHLOIS2020_0002_B";2020-08-12;"2020";"08";"12";"Laure_Helene_GARSI";0;NA;"NA";"NA";"NA";"NA";"NA";42,86687;9,34072;"pe";15;2;06:00:00;10:30:00;10:00:00;04:30:00;"accessibilite, proximite";"aucun_part";"toutes";"cru";"0";"0";"0";"0";"mag_spe";"palangrotte";"Diplodus sargus";2;25;585,58;NA;"NA";65,0644444444444;NA;"NA";NA;NA;NA;"42°52.012'";NA;NA;NA;"9°20.443'";04:00:00;"resident";"NA";"NA";NA;NA;NA;NA
"5";"PNMCA";4;"PECHLOIS2020_0002";"PECHLOIS2020_0002_B";2020-08-12;"2020";"08";"12";"Laure_Helene_GARSI";0;NA;"NA";"NA";"NA";"NA";"NA";42,86687;9,34072;"pe";15;2;06:00:00;10:30:00;10:00:00;04:30:00;"accessibilite, proximite";"aucun_part";"toutes";"cru";"0";"0";"0";"0";"mag_spe";"palangrotte";"Pagellus erythrinus";1;30;308,91;4407,26;"NA";34,3233333333333;NA;"NA";NA;NA;NA;"42°52.012'";NA;NA;NA;"9°20.443'";04:00:00;"resident";"NA";"NA";NA;NA;NA;NA
"6";"PNMCA";4;"PECHLOIS2020_0002";"PECHLOIS2020_0002_B";2020-08-12;"2020";"08";"12";"Laure_Helene_GARSI";0;NA;"NA";"NA";"NA";"NA";"NA";42,86687;9,34072;"pe";15;2;06:00:00;10:30:00;10:00:00;04:30:00;"accessibilite, proximite";"aucun_part";"toutes";"cru";"0";"0";"0";"0";"mag_spe";"palangrotte";"Serranus cabrilla";32;10,15;741,13;NA;"NA";82,3477777777778;NA;"NA";NA;NA;NA;"42°52.012'";NA;NA;NA;"9°20.443'";04:00:00;"resident";"min_cons";"32";NA;NA;NA;NA
"7";"PNMCA";4;"PECHLOIS2020_0002";"PECHLOIS2020_0002_B";2020-08-12;"2020";"08";"12";"Laure_Helene_GARSI";0;NA;"NA";"NA";"NA";"NA";"NA";42,86687;9,34072;"pe";15;2;06:00:00;10:30:00;10:00:00;04:30:00;"accessibilite, proximite";"aucun_part";"toutes";"cru";"0";"0";"0";"0";"mag_spe";"palangrotte";"Trachinus draco";1;20;49,33;NA;"NA";5,48111111111111;NA;"NA";NA;NA;NA;"42°52.012'";NA;NA;NA;"9°20.443'";04:00:00;"resident";"NA";"NA";NA;NA;NA;NA
"8";"PNMCA";8;"PECHLOIS2020_0003";"PECHLOIS2020_0003_C";2020-08-14;"2020";"08";"14";"Laure_Helene_GARSI";1;NA;"NA";"NA";"NA";"NA";"NA";42,76788;9,20528;"pe";55;3;07:00:00;11:25:00;12:00:00;04:25:00;"accessibilite, proximite";"rocheux";"Sparus aurata, Eurhynnus alletteratus, Dentex dentex";"pss";"0";"0";"0";"0";"mag_spe";"broume";"Euthynnus alletteratus";1;60;3307,89;NA;"NA";249,652075471698;NA;"NA";NA;NA;NA;"42°46.073'";NA;NA;NA;"9°12.317'";05:00:00;"secondaire";"NA";"NA";NA;NA;NA;NA
"9";"PNMCA";8;"PECHLOIS2020_0003";"PECHLOIS2020_0003_C";2020-08-14;"2020";"08";"14";"Laure_Helene_GARSI";1;NA;"NA";"NA";"NA";"NA";"NA";42,76788;9,20528;"pe";55;3;07:00:00;11:25:00;12:00:00;04:25:00;"accessibilite, proximite";"rocheux";"Sparus aurata, Eurhynnus alletteratus, Dentex dentex";"pss";"0";"0";"0";"0";"mag_spe";"broume";"Spondyliosoma cantharus";3;30;840,8;1108,59;"NA";63,4566037735849;NA;"NA";NA;NA;NA;"42°46.073'";NA;NA;NA;"9°12.317'";05:00:00;"secondaire";"NA";"NA";NA;NA;NA;NA
"10";"PNMCA";13;"PECHLOIS2020_0005";"PECHLOIS2020_0005_B";2020-08-20;"2020";"08";"20";"Laure_Helene_GARSI";0;NA;"NA";"NA";"NA";"NA";"NA";42,95212;9,45658;"csm";10;1;18:00:00;20:15:00;20:00:00;02:15:00;"accessibilite, proximite";"rocheux";"Diplodus spp, Dicentrarchus labrax, Labrus spp, Octopus vulgaris";"0";"0";"0";"0";"0";"0";"indienne";"Diplodus sargus";1;25;267,79;518,4;"NA";119,017777777778;NA;"NA";NA;NA;NA;"42°57.076'";NA;NA;NA;"9°27.237'";02:00:00;"resident";"NA";"NA";NA;NA;NA;NA
